Gene ID	source_id	Input Ortholog(s)	
PF3D7_0627100	PF3D7_0627100.1	PBANKA_1125900	
PF3D7_0627300	PF3D7_0627300.1	PBANKA_1126000	
PF3D7_0627400	PF3D7_0627400.1	PBANKA_1126100	
PF3D7_0627500	PF3D7_0627500.1	PBANKA_1126200	
PF3D7_0627700	PF3D7_0627700.1	PBANKA_1126400	
PF3D7_0627800	PF3D7_0627800.1	PBANKA_1126500	
PF3D7_0627900	PF3D7_0627900.1	PBANKA_1126600	
PF3D7_0628000	PF3D7_0628000.1	PBANKA_1126700	
PF3D7_0628100	PF3D7_0628100.1	PBANKA_1126800	
PF3D7_0628200	PF3D7_0628200.1	PBANKA_1126900	
PF3D7_0628300	PF3D7_0628300.1	PBANKA_1127000	
PF3D7_0628400	PF3D7_0628400.1	PBANKA_1127100	
PF3D7_0628500	PF3D7_0628500.1	PBANKA_1127200	
PF3D7_0628600	PF3D7_0628600.1	PBANKA_1127300	
PF3D7_0628700	PF3D7_0628700.1	PBANKA_1127400	
PF3D7_0628800	PF3D7_0628800.1	PBANKA_1127500	
PF3D7_0629000	PF3D7_0629000.1	PBANKA_1127600	
PF3D7_0629100	PF3D7_0629100.1	PBANKA_1127700	
PF3D7_0629200	PF3D7_0629200.1	PBANKA_1127800	
PF3D7_0629300	PF3D7_0629300.1	PBANKA_1128100	
PF3D7_0629400	PF3D7_0629400.1	PBANKA_1128200	
PF3D7_0629500	PF3D7_0629500.1	PBANKA_1128300	
PF3D7_0629600	PF3D7_0629600.1	PBANKA_1128400	
PF3D7_0629800	PF3D7_0629800.1	PBANKA_1128600	
PF3D7_0629900	PF3D7_0629900.1	PBANKA_1128700	
PF3D7_0630000	PF3D7_0630000.1	PBANKA_1128800	
PF3D7_0630200	PF3D7_0630200.1	PBANKA_1129000	
PF3D7_0630300	PF3D7_0630300.1	PBANKA_1129100	
PF3D7_0630400	PF3D7_0630400.1	PBANKA_1129200	
PF3D7_0630500	PF3D7_0630500.1	PBANKA_1129300	
PF3D7_0630600	PF3D7_0630600.1	PBANKA_1129400	
PF3D7_0630700	PF3D7_0630700.1	PBANKA_1129500	
PF3D7_0630800	PF3D7_0630800.1	PBANKA_1129600	
PF3D7_0630900	PF3D7_0630900.1	PBANKA_1129700	
PF3D7_0631000	PF3D7_0631000.1	PBANKA_1129800	
PF3D7_0702900	PF3D7_0702900.1	PBANKA_0800600	
PF3D7_0703100	PF3D7_0703100.1	PBANKA_0800800	
PF3D7_0703200	PF3D7_0703200.1	PBANKA_0800900	
PF3D7_0703300	PF3D7_0703300.1	PBANKA_0801000	
PF3D7_0703400	PF3D7_0703400.1	PBANKA_0801100	
PF3D7_0703500	PF3D7_0703500.1	PBANKA_0801200	
PF3D7_0703600	PF3D7_0703600.1	PBANKA_0801300	
PF3D7_0703700	PF3D7_0703700.1	PBANKA_0801400	
PF3D7_0704200	PF3D7_0704200.1	PBANKA_0801900	
PF3D7_0704400	PF3D7_0704400.1	PBANKA_0802100	
PF3D7_0704600	PF3D7_0704600.1	PBANKA_0802300	
PF3D7_0704700	PF3D7_0704700.1	PBANKA_0802400	
PF3D7_0704900	PF3D7_0704900.1	PBANKA_0802600	
PF3D7_0705000	PF3D7_0705000.1	PBANKA_0802700	
PF3D7_0705300	PF3D7_0705300.1	PBANKA_0803000	
PF3D7_0705400	PF3D7_0705400.1	PBANKA_0803100	
PF3D7_0705600	PF3D7_0705600.1	PBANKA_0803300	
PF3D7_0705700	PF3D7_0705700.1	PBANKA_0803400	
PF3D7_0705900	PF3D7_0705900.1	PBANKA_0803500	
PF3D7_0706000	PF3D7_0706000.1	PBANKA_0803600	
PF3D7_0706100	PF3D7_0706100.1	PBANKA_0803700	
PF3D7_0706200	PF3D7_0706200.1	PBANKA_0803800	
PF3D7_0706400	PF3D7_0706400.1	PBANKA_0804000	
PF3D7_0706600	PF3D7_0706600.1	PBANKA_0804200	
PF3D7_0706700	PF3D7_0706700.1	PBANKA_0804300	
PF3D7_0707400	PF3D7_0707400.1	PBANKA_0804600	
PF3D7_0707500	PF3D7_0707500.1	PBANKA_0804700	
PF3D7_0707600	PF3D7_0707600.1	PBANKA_0804800	
PF3D7_0707700	PF3D7_0707700.1	PBANKA_0804900	
PF3D7_0707800	PF3D7_0707800.1	PBANKA_0805000	
PF3D7_0707900	PF3D7_0707900.1	PBANKA_0805100	
PF3D7_0708000	PF3D7_0708000.1	PBANKA_0805200	
PF3D7_0708100	PF3D7_0708100.1	PBANKA_0805400	
PF3D7_0708200	PF3D7_0708200.1	PBANKA_0805500	
PF3D7_0708300	PF3D7_0708300.1	PBANKA_0805600	
PF3D7_0708400	PF3D7_0708400.1	PBANKA_0805700	
PF3D7_0708500	PF3D7_0708500.1	PBANKA_1219000	
PF3D7_0708600	PF3D7_0708600.1	PBANKA_1219100	
PF3D7_0708700	PF3D7_0708700.1	PBANKA_1219200	
PF3D7_0708800	PF3D7_0708800.1	PBANKA_1219300	
PF3D7_0708900	PF3D7_0708900.1	PBANKA_1219400	
PF3D7_0709000	PF3D7_0709000.1	PBANKA_1219500	
PF3D7_0709100	PF3D7_0709100.1	PBANKA_1219600	
PF3D7_0709200	PF3D7_0709200.1	PBANKA_1219700	
PF3D7_0709300	PF3D7_0709300.1	PBANKA_1219800	
PF3D7_0709400	PF3D7_0709400.1	PBANKA_1219900	
PF3D7_0709500	PF3D7_0709500.1	PBANKA_1220000	
PF3D7_0709600	PF3D7_0709600.1	PBANKA_1220100	
PF3D7_0709700	PF3D7_0709700.1	PBANKA_1220200,PBANKA_1220300	
PF3D7_0709800	PF3D7_0709800.1	PBANKA_1220400	
PF3D7_0709900	PF3D7_0709900.1	PBANKA_1220500	
PF3D7_0710000	PF3D7_0710000.1	PBANKA_1220600	
PF3D7_0710100	PF3D7_0710100.1	PBANKA_1220700	
PF3D7_0710300	PF3D7_0710300.1	PBANKA_1220900	
PF3D7_0710400	PF3D7_0710400.1	PBANKA_1221000	
PF3D7_0710500	PF3D7_0710500.1	PBANKA_1221100	
PF3D7_0710600	PF3D7_0710600.1	PBANKA_1221200	
PF3D7_0710900	PF3D7_0710900.1	PBANKA_1221500	
PF3D7_0711000	PF3D7_0711000.1	PBANKA_1221600	
PF3D7_0711100	PF3D7_0711100.1	PBANKA_1221700	
PF3D7_0711200	PF3D7_0711200.1	PBANKA_1221800	
PF3D7_0711300	PF3D7_0711300.1	PBANKA_1221900	
PF3D7_0711400	PF3D7_0711400.1	PBANKA_1222000	
PF3D7_0711500	PF3D7_0711500.1	PBANKA_1222100	
PF3D7_0713400	PF3D7_0713400.1	PBANKA_1420000	
PF3D7_0713500	PF3D7_0713500.1	PBANKA_1420100	
PF3D7_0713600	PF3D7_0713600.1	PBANKA_1420200	
PF3D7_0713700	PF3D7_0713700.1	PBANKA_1420300	
PF3D7_0713800	PF3D7_0713800.1	PBANKA_1420400	
PF3D7_0714000	PF3D7_0714000.1	PBANKA_1420600	
PF3D7_0714100	PF3D7_0714100.1	PBANKA_1420700	
PF3D7_0714300	PF3D7_0714300.1	PBANKA_1420900	
PF3D7_0714400	PF3D7_0714400.1	PBANKA_1421000	
PF3D7_0714500	PF3D7_0714500.1	PBANKA_1421100	
PF3D7_0714600	PF3D7_0714600.1	PBANKA_1421200	
PF3D7_0715000	PF3D7_0715000.1	PBANKA_1421300	
PF3D7_0715100	PF3D7_0715100.1	PBANKA_1421400	
PF3D7_0715300	PF3D7_0715300.1	PBANKA_1421600	
PF3D7_0715400	PF3D7_0715400.1	PBANKA_1421700	
PF3D7_0715500	PF3D7_0715500.1	PBANKA_1421800	
PF3D7_0715600	PF3D7_0715600.1	PBANKA_1421900	
PF3D7_0715700	PF3D7_0715700.1	PBANKA_1422000	
PF3D7_0715800	PF3D7_0715800.1	PBANKA_1422100	
PF3D7_0715900	PF3D7_0715900.1	PBANKA_1422200	
PF3D7_0716000	PF3D7_0716000.1	PBANKA_0613700	
PF3D7_0716100	PF3D7_0716100.1	PBANKA_0613800	
PF3D7_0716200	PF3D7_0716200.1	PBANKA_0613900	
PF3D7_0716300	PF3D7_0716300.1	PBANKA_0614000	
PF3D7_0716400	PF3D7_0716400.1	PBANKA_0614100	
PF3D7_0716500	PF3D7_0716500.1	PBANKA_0614200	
PF3D7_0716600	PF3D7_0716600.1	PBANKA_0614300	
PF3D7_0716700	PF3D7_0716700.1	PBANKA_0614400	
PF3D7_0716800	PF3D7_0716800.1	PBANKA_0614500	
PF3D7_0716900	PF3D7_0716900.1	PBANKA_0614600	
PF3D7_0717000	PF3D7_0717000.1	PBANKA_0614700	
PF3D7_0717100	PF3D7_0717100.1	PBANKA_0614800	
PF3D7_0717200	PF3D7_0717200.1	PBANKA_0614900	
PF3D7_0717300	PF3D7_0717300.1	PBANKA_0615000	
PF3D7_0717400	PF3D7_0717400.1	PBANKA_0615100	
PF3D7_0717500	PF3D7_0717500.1	PBANKA_0615200	
PF3D7_0717600	PF3D7_0717600.1	PBANKA_0615300	
PF3D7_0717700	PF3D7_0717700.1	PBANKA_0615400	
PF3D7_0717900	PF3D7_0717900.1	PBANKA_0615600	
PF3D7_0718100	PF3D7_0718100.1	PBANKA_0615800	
PF3D7_0718300	PF3D7_0718300.1	PBANKA_0615900	
PF3D7_0718400	PF3D7_0718400.1	PBANKA_0616000	
PF3D7_0718500	PF3D7_0718500.1	PBANKA_0616100	
PF3D7_0718700	PF3D7_0718700.1	PBANKA_0616300	
PF3D7_0718800	PF3D7_0718800.1	PBANKA_0616400	
PF3D7_0718900	PF3D7_0718900.1	PBANKA_0616400	
PF3D7_0719000	PF3D7_0719000.1	PBANKA_0616500	
PF3D7_0719100	PF3D7_0719100.1	PBANKA_0616600	
PF3D7_0719200	PF3D7_0719200.1	PBANKA_0616700	
PF3D7_0719300	PF3D7_0719300.1	PBANKA_0616800	
PF3D7_0719400	PF3D7_0719400.1	PBANKA_0616900	
PF3D7_0719500	PF3D7_0719500.1	PBANKA_0617000	
PF3D7_0719600	PF3D7_0719600.1	PBANKA_0617100	
PF3D7_0719700	PF3D7_0719700.1	PBANKA_0617200	
PF3D7_0719800	PF3D7_0719800.1	PBANKA_0617300	
PF3D7_0720000	PF3D7_0720000.1	PBANKA_0617500	
PF3D7_0720100	PF3D7_0720100.1	PBANKA_0617600	
PF3D7_0720200	PF3D7_0720200.1	PBANKA_0617700	
PF3D7_0720300	PF3D7_0720300.1	PBANKA_0617800	
PF3D7_0720400	PF3D7_0720400.1	PBANKA_0617900	
PF3D7_0720500	PF3D7_0720500.1	PBANKA_0618000	
PF3D7_0720600	PF3D7_0720600.1	PBANKA_0618100	
PF3D7_0720800	PF3D7_0720800.1	PBANKA_0618300	
PF3D7_0720900	PF3D7_0720900.1	PBANKA_0618400	
PF3D7_0721100	PF3D7_0721100.1	PBANKA_0618600	
PF3D7_0721200	PF3D7_0721200.1	PBANKA_0618700	
PF3D7_0721300	PF3D7_0721300.1	PBANKA_0618800	
PF3D7_0721400	PF3D7_0721400.1	PBANKA_0618900	
PF3D7_0721500	PF3D7_0721500.1	PBANKA_0619000	
PF3D7_0721600	PF3D7_0721600.1	PBANKA_0619100	
PF3D7_0721700	PF3D7_0721700.1	PBANKA_0619200	
PF3D7_0721800	PF3D7_0721800.1	PBANKA_0619300	
PF3D7_0721900	PF3D7_0721900.1	PBANKA_0619400	
PF3D7_0722100	PF3D7_0722100.1	PBANKA_0619600	
PF3D7_0722200	PF3D7_0722200.1	PBANKA_0619700	
PF3D7_0722300	PF3D7_0722300.1	PBANKA_0619800	
PF3D7_0722400	PF3D7_0722400.1	PBANKA_0619900	
PF3D7_0722500	PF3D7_0722500.1	PBANKA_0620000	
PF3D7_0722600	PF3D7_0722600.1	PBANKA_0620100	
PF3D7_0722700	PF3D7_0722700.1	PBANKA_0620200	
PF3D7_0722800	PF3D7_0722800.1	PBANKA_0620300	
PF3D7_0722900	PF3D7_0722900.1	PBANKA_0620400	
PF3D7_0723000	PF3D7_0723000.1	PBANKA_0620500	
PF3D7_0723100	PF3D7_0723100.1	PBANKA_0620600	
PF3D7_0723200	PF3D7_0723200.1	PBANKA_0620700	
PF3D7_0723300	PF3D7_0723300.1	PBANKA_0620800	
PF3D7_0723500	PF3D7_0723500.1	PBANKA_0621000	
PF3D7_0723600	PF3D7_0723600.1	PBANKA_0621100	
PF3D7_0723700	PF3D7_0723700.1	PBANKA_0621200	
PF3D7_0723900	PF3D7_0723900.1	PBANKA_0621400	
PF3D7_0724200	PF3D7_0724200.1	PBANKA_0621700	
PF3D7_0724300	PF3D7_0724300.1	PBANKA_0621800	
PF3D7_0724400	PF3D7_0724400.1	PBANKA_0621900	
PF3D7_0724500	PF3D7_0724500.1	PBANKA_0622000	
PF3D7_0724700	PF3D7_0724700.1	PBANKA_0622200	
PF3D7_0724800	PF3D7_0724800.1	PBANKA_0622300	
PF3D7_0725000	PF3D7_0725000.1	PBANKA_0622500	
PF3D7_0725100	PF3D7_0725100.1	PBANKA_0622600	
PF3D7_0725200	PF3D7_0725200.1	PBANKA_0622700	
PF3D7_0725300	PF3D7_0725300.1	PBANKA_0622800	
PF3D7_0726300	PF3D7_0726300.1	PBANKA_0210400	
PF3D7_0726500	PF3D7_0726500.1	PBANKA_0210600	
PF3D7_0726700	PF3D7_0726700.1	PBANKA_0210800	
PF3D7_0726800	PF3D7_0726800.1	PBANKA_0210900	
PF3D7_0726900	PF3D7_0726900.1	PBANKA_0211000	
PF3D7_0727000	PF3D7_0727000.1	PBANKA_0211100	
PF3D7_0727100	PF3D7_0727100.1	PBANKA_0211200	
PF3D7_0727200	PF3D7_0727200.1	PBANKA_0211300	
PF3D7_0727300	PF3D7_0727300.1	PBANKA_0211400	
PF3D7_0727400	PF3D7_0727400.1	PBANKA_0211500	
PF3D7_0727500	PF3D7_0727500.1	PBANKA_0211600	
PF3D7_0727600	PF3D7_0727600.1	PBANKA_0211700	
PF3D7_0727700	PF3D7_0727700.1	PBANKA_0211800	
PF3D7_0727800	PF3D7_0727800.1	PBANKA_0211900	
PF3D7_0728000	PF3D7_0728000.1	PBANKA_0212100	
PF3D7_0728200	PF3D7_0728200.1	PBANKA_0212300	
PF3D7_0728300	PF3D7_0728300.1	PBANKA_0212400	
PF3D7_0728400	PF3D7_0728400.1	PBANKA_0212500	
PF3D7_0728400	PF3D7_0728400.2	PBANKA_0212500	
PF3D7_0728500	PF3D7_0728500.1	PBANKA_0212600	
PF3D7_0728600	PF3D7_0728600.1	PBANKA_0212700	
PF3D7_0728700	PF3D7_0728700.1	PBANKA_0212800	
PF3D7_0728800	PF3D7_0728800.1	PBANKA_0212900	
PF3D7_0728900	PF3D7_0728900.1	PBANKA_0213000	
PF3D7_0729000	PF3D7_0729000.1	PBANKA_0213100	
PF3D7_0729100	PF3D7_0729100.1	PBANKA_0213200	
PF3D7_0729200	PF3D7_0729200.1	PBANKA_0213300	
PF3D7_0729300	PF3D7_0729300.1	PBANKA_0213400	
PF3D7_0729400	PF3D7_0729400.1	PBANKA_0213500	
PF3D7_0729500	PF3D7_0729500.1	PBANKA_0213600	
PF3D7_0729600	PF3D7_0729600.1	PBANKA_0213700	
PF3D7_0729700	PF3D7_0729700.1	PBANKA_0213800	
PF3D7_0729800	PF3D7_0729800.1	PBANKA_0213900	
PF3D7_0729900	PF3D7_0729900.1	PBANKA_0214000	
PF3D7_0730000	PF3D7_0730000.1	PBANKA_0214100	
PF3D7_0730100	PF3D7_0730100.1	PBANKA_0214200	
PF3D7_0730200	PF3D7_0730200.1	PBANKA_0214300	
PF3D7_0730400	PF3D7_0730400.1	PBANKA_0214500	
PF3D7_0801300	PF3D7_0801300.1	PBANKA_1228900	
PF3D7_0801500	PF3D7_0801500.1	PBANKA_1228700	
PF3D7_0801600	PF3D7_0801600.1	PBANKA_1228600	
PF3D7_0801700	PF3D7_0801700.1	PBANKA_1228500	
PF3D7_0801800	PF3D7_0801800.1	PBANKA_1228400	
PF3D7_0802000	PF3D7_0802000.1	PBANKA_1228200	
PF3D7_0802200	PF3D7_0802200.1	PBANKA_1228000	
PF3D7_0802300	PF3D7_0802300.1	PBANKA_1227900	
PF3D7_0802400	PF3D7_0802400.1	PBANKA_1227800	
PF3D7_0802500	PF3D7_0802500.1	PBANKA_1227700	
PF3D7_0802600	PF3D7_0802600.1	PBANKA_1227600	
PF3D7_0802700	PF3D7_0802700.1	PBANKA_1227500	
PF3D7_0802800	PF3D7_0802800.1	PBANKA_1227400	
PF3D7_0802900	PF3D7_0802900.1	PBANKA_1227300	
PF3D7_0803000	PF3D7_0803000.1	PBANKA_1227200	
PF3D7_0803200	PF3D7_0803200.1	PBANKA_1227000	
PF3D7_0803300	PF3D7_0803300.1	PBANKA_1226900	
PF3D7_0803400	PF3D7_0803400.1	PBANKA_1226800	
PF3D7_0803500	PF3D7_0803500.1	PBANKA_1226700	
PF3D7_0803700	PF3D7_0803700.1	PBANKA_1226600	
PF3D7_0803800	PF3D7_0803800.1	PBANKA_1226500	
PF3D7_0804000	PF3D7_0804000.1	PBANKA_1226400	
PF3D7_0804300	PF3D7_0804300.1	PBANKA_1226300	
PF3D7_0804400	PF3D7_0804400.1	PBANKA_1226200	
PF3D7_0804500	PF3D7_0804500.1	PBANKA_1226100	
PF3D7_0804600	PF3D7_0804600.1	PBANKA_1226000	
PF3D7_0804800	PF3D7_0804800.1	PBANKA_1225800	
PF3D7_0804900	PF3D7_0804900.1	PBANKA_1225700	
PF3D7_0805000	PF3D7_0805000.1	PBANKA_1225600	
PF3D7_0805100	PF3D7_0805100.1	PBANKA_1225500	
PF3D7_0805200	PF3D7_0805200.1	PBANKA_1225400	
PF3D7_0805300	PF3D7_0805300.1	PBANKA_1225300	
PF3D7_0805400	PF3D7_0805400.1	PBANKA_1225200	
PF3D7_0805500	PF3D7_0805500.1	PBANKA_1225100	
PF3D7_0805700	PF3D7_0805700.1	PBANKA_1225000	
PF3D7_0805800	PF3D7_0805800.1	PBANKA_1224900	
PF3D7_0805900	PF3D7_0805900.1	PBANKA_1224800	
PF3D7_0806000	PF3D7_0806000.1	PBANKA_1224700	
PF3D7_0806100	PF3D7_0806100.1	PBANKA_1224600	
PF3D7_0806200	PF3D7_0806200.1	PBANKA_1224500	
PF3D7_0806300	PF3D7_0806300.1	PBANKA_1224400	
PF3D7_0806400	PF3D7_0806400.1	PBANKA_1224300	
PF3D7_0806500	PF3D7_0806500.1	PBANKA_1224200	
PF3D7_0806600	PF3D7_0806600.1	PBANKA_1224100	
PF3D7_0806800	PF3D7_0806800.1	PBANKA_1223800	
PF3D7_0806900	PF3D7_0806900.1	PBANKA_1223700	
PF3D7_0807000	PF3D7_0807000.1	PBANKA_1223600	
PF3D7_0807100	PF3D7_0807100.1	PBANKA_1223500	
PF3D7_0807200	PF3D7_0807200.1	PBANKA_1223400	
PF3D7_0807300	PF3D7_0807300.1	PBANKA_1223300	
PF3D7_0807400	PF3D7_0807400.1	PBANKA_1223200	
PF3D7_0807500	PF3D7_0807500.1	PBANKA_1223100	
PF3D7_0807800	PF3D7_0807800.1	PBANKA_1222900	
PF3D7_0807900	PF3D7_0807900.1	PBANKA_1222800	
PF3D7_0808000	PF3D7_0808000.1	PBANKA_1222700	
PF3D7_0808100	PF3D7_0808100.1	PBANKA_1222600	
PF3D7_0808200	PF3D7_0808200.1	PBANKA_1222500	
PF3D7_0808300	PF3D7_0808300.1	PBANKA_1222400	
PF3D7_0808400	PF3D7_0808400.1	PBANKA_1222300	
PF3D7_0809400	PF3D7_0809400.1	PBANKA_1428000	
PF3D7_0809500	PF3D7_0809500.1	PBANKA_1427900	
PF3D7_0809600	PF3D7_0809600.1	PBANKA_1427800	
PF3D7_0809700	PF3D7_0809700.1	PBANKA_1427700	
PF3D7_0810000	PF3D7_0810000.1	PBANKA_1427500	
PF3D7_0810100	PF3D7_0810100.1	PBANKA_1427400	
PF3D7_0810200	PF3D7_0810200.1	PBANKA_1427300	
PF3D7_0810300	PF3D7_0810300.1	PBANKA_1427200	
PF3D7_0810400	PF3D7_0810400.1	PBANKA_1427100	
PF3D7_0810500	PF3D7_0810500.1	PBANKA_1427000	
PF3D7_0810600	PF3D7_0810600.1	PBANKA_1426900	
PF3D7_0810700	PF3D7_0810700.1	PBANKA_1426800	
PF3D7_0810800	PF3D7_0810800.1	PBANKA_1426700	
PF3D7_0810900	PF3D7_0810900.2	PBANKA_1426600	
PF3D7_0810900	PF3D7_0810900.1	PBANKA_1426600	
PF3D7_0811000	PF3D7_0811000.1	PBANKA_1426500	
PF3D7_0811100	PF3D7_0811100.1	PBANKA_1426400	
PF3D7_0811200	PF3D7_0811200.1	PBANKA_1426300	
PF3D7_0811300	PF3D7_0811300.1	PBANKA_1426200	
PF3D7_0811400	PF3D7_0811400.1	PBANKA_1426100	
PF3D7_0811500	PF3D7_0811500.1	PBANKA_1426000	
PF3D7_0811600	PF3D7_0811600.1	PBANKA_1425900	
PF3D7_0811800	PF3D7_0811800.1	PBANKA_1425700	
PF3D7_0811900	PF3D7_0811900.1	PBANKA_1425600	
PF3D7_0812000	PF3D7_0812000.1	PBANKA_1425500	
PF3D7_0812100	PF3D7_0812100.1	PBANKA_1425400	
PF3D7_0812200	PF3D7_0812200.1	PBANKA_1425300	
PF3D7_0812220	PF3D7_0812220.1	PBANKA_1425350	
PF3D7_0812300	PF3D7_0812300.1	PBANKA_1425200	
PF3D7_0812400	PF3D7_0812400.1	PBANKA_1425100	
PF3D7_0812500	PF3D7_0812500.1	PBANKA_1425000	
PF3D7_0812600	PF3D7_0812600.1	PBANKA_1424900	
PF3D7_0812700	PF3D7_0812700.1	PBANKA_1424800	
PF3D7_0812800	PF3D7_0812800.1	PBANKA_1424700	
PF3D7_0813200	PF3D7_0813200.1	PBANKA_1424400	
PF3D7_0813300	PF3D7_0813300.1	PBANKA_1424300	
PF3D7_0813500	PF3D7_0813500.1	PBANKA_1424000	
PF3D7_0813600	PF3D7_0813600.1	PBANKA_1423900	
PF3D7_0813800	PF3D7_0813800.1	PBANKA_1423700	
PF3D7_0813900	PF3D7_0813900.1	PBANKA_1423600	
PF3D7_0814000	PF3D7_0814000.1	PBANKA_1423500	
PF3D7_0814100	PF3D7_0814100.1	PBANKA_1423400	
PF3D7_0814200	PF3D7_0814200.1	PBANKA_1423300	
PF3D7_0814300	PF3D7_0814300.1	PBANKA_1423200	
PF3D7_0814400	PF3D7_0814400.1	PBANKA_1423100	
PF3D7_0814600	PF3D7_0814600.1	PBANKA_1422900	
PF3D7_0814900	PF3D7_0814900.1	PBANKA_1422700	
PF3D7_0815000	PF3D7_0815000.1	PBANKA_1422600	
PF3D7_0815100	PF3D7_0815100.1	PBANKA_1422500	
PF3D7_0815200	PF3D7_0815200.1	PBANKA_1422400	
PF3D7_0815300	PF3D7_0815300.1	PBANKA_1422300	
PF3D7_0815400	PF3D7_0815400.1	PBANKA_0715400	
PF3D7_0815500	PF3D7_0815500.1	PBANKA_0715300	
PF3D7_0815600	PF3D7_0815600.1	PBANKA_0715200	
PF3D7_0815700	PF3D7_0815700.1	PBANKA_0715100	
PF3D7_0815800	PF3D7_0815800.1	PBANKA_0715000	
PF3D7_0815900	PF3D7_0815900.1	PBANKA_0714900	
PF3D7_0816000	PF3D7_0816000.1	PBANKA_0714800	
PF3D7_0816100	PF3D7_0816100.1	PBANKA_0714700	
PF3D7_0816200	PF3D7_0816200.1	PBANKA_0714600	
PF3D7_0816300	PF3D7_0816300.1	PBANKA_0714500	
PF3D7_0816400	PF3D7_0816400.1	PBANKA_0714400	
PF3D7_0816500	PF3D7_0816500.1	PBANKA_0714300	
PF3D7_0816600	PF3D7_0816600.1	PBANKA_0714200	
PF3D7_0816700	PF3D7_0816700.1	PBANKA_0714100	
PF3D7_0816800	PF3D7_0816800.1	PBANKA_0714000	
PF3D7_0816900	PF3D7_0816900.1	PBANKA_0713900	
PF3D7_0817000	PF3D7_0817000.1	PBANKA_0713800	
PF3D7_0817100	PF3D7_0817100.1	PBANKA_0713700	
PF3D7_0817400	PF3D7_0817400.1	PBANKA_0713400	
PF3D7_0817500	PF3D7_0817500.1	PBANKA_0713300	
PF3D7_0817600	PF3D7_0817600.1	PBANKA_0713200	
PF3D7_0817700	PF3D7_0817700.1	PBANKA_0713100	
PF3D7_0817800	PF3D7_0817800.1	PBANKA_0713000	
PF3D7_0817900	PF3D7_0817900.1	PBANKA_0712900	
PF3D7_0818000	PF3D7_0818000.1	PBANKA_0712800	
PF3D7_0818100	PF3D7_0818100.1	PBANKA_0712700	
PF3D7_0818200	PF3D7_0818200.1	PBANKA_0712600	
PF3D7_0818300	PF3D7_0818300.1	PBANKA_0712500	
PF3D7_0818400	PF3D7_0818400.1	PBANKA_0712400	
PF3D7_0818500	PF3D7_0818500.1	PBANKA_0712300	
PF3D7_0818600	PF3D7_0818600.1	PBANKA_0712200	
PF3D7_0818700	PF3D7_0818700.1	PBANKA_0712100	
PF3D7_0818800	PF3D7_0818800.1	PBANKA_0712000	
PF3D7_0818900	PF3D7_0818900.1	PBANKA_0711900	
PF3D7_0819000	PF3D7_0819000.1	PBANKA_0711800	
PF3D7_0819100	PF3D7_0819100.1	PBANKA_0711700	
PF3D7_0819200	PF3D7_0819200.1	PBANKA_0711600	
PF3D7_0819300	PF3D7_0819300.1	PBANKA_0711500	
PF3D7_0819400	PF3D7_0819400.1	PBANKA_0711400	
PF3D7_0819500	PF3D7_0819500.1	PBANKA_0711300	
PF3D7_0819600	PF3D7_0819600.1	PBANKA_0711200	
PF3D7_0819700	PF3D7_0819700.1	PBANKA_0711100	
PF3D7_0819900	PF3D7_0819900.1	PBANKA_0710900	
PF3D7_0820000	PF3D7_0820000.1	PBANKA_0710800	
PF3D7_0820100	PF3D7_0820100.1	PBANKA_0710700	
PF3D7_0820200	PF3D7_0820200.1	PBANKA_0710600	
PF3D7_0820400	PF3D7_0820400.1	PBANKA_0710400	
PF3D7_0820500	PF3D7_0820500.1	PBANKA_0710300	
PF3D7_0820600	PF3D7_0820600.1	PBANKA_0710200	
PF3D7_0820700	PF3D7_0820700.1	PBANKA_0710100	
PF3D7_0820800	PF3D7_0820800.1	PBANKA_0710000	
PF3D7_0820900	PF3D7_0820900.1	PBANKA_0709900	
PF3D7_0821000	PF3D7_0821000.1	PBANKA_0709800	
PF3D7_0821200	PF3D7_0821200.1	PBANKA_0709600	
PF3D7_0821300	PF3D7_0821300.1	PBANKA_0709500	
PF3D7_0821400	PF3D7_0821400.1	PBANKA_0709400	
PF3D7_0821500	PF3D7_0821500.1	PBANKA_0709300	
PF3D7_0821600	PF3D7_0821600.1	PBANKA_0709200	
PF3D7_0821700	PF3D7_0821700.1	PBANKA_0709100	
PF3D7_0821800	PF3D7_0821800.1	PBANKA_0709000	
PF3D7_0821900	PF3D7_0821900.1	PBANKA_0708900	
PF3D7_0822000	PF3D7_0822000.1	PBANKA_0708800	
PF3D7_0822100	PF3D7_0822100.1	PBANKA_0708700	
PF3D7_0822300	PF3D7_0822300.1	PBANKA_0708400	
PF3D7_0822400	PF3D7_0822400.1	PBANKA_0708200	
PF3D7_0822500	PF3D7_0822500.1	PBANKA_0708100	
PF3D7_0822600	PF3D7_0822600.1	PBANKA_0708000	
PF3D7_0822700	PF3D7_0822700.1	PBANKA_0707900	
PF3D7_0822800	PF3D7_0822800.1	PBANKA_0707800	
PF3D7_0823000	PF3D7_0823000.1	PBANKA_0707600	
PF3D7_0823100	PF3D7_0823100.1	PBANKA_0707500	
PF3D7_0823200	PF3D7_0823200.1	PBANKA_0707400	
PF3D7_0823300	PF3D7_0823300.1	PBANKA_0707300	
PF3D7_0823400	PF3D7_0823400.1	PBANKA_0707200	
PF3D7_0823500	PF3D7_0823500.1	PBANKA_0707100	
PF3D7_0823600	PF3D7_0823600.1	PBANKA_0707000	
